age,title,review_text,rating,recommended_ind,positive_feedback_count,division_name,department_name,class_name,sentiment,review_length,log_positive_feedback,age_group,est_rating,pred_sentiment,urgency,aspects,n_aspects
53,Love these tights!,"Just received first pair in brown...love them and ordered two more! these tights actually stay up and you don't have to keep pulling on them throughout the day. super comfortable and perfect weight, not too thick and not too thin. they will run, so be careful when washing or putting them on.",5,1,1,Initmates,Intimate,Legwear,Positive,52,0.6931471805599453,46-55,5,Positive,Low,fit:Positive; comfort:Positive; quality:Positive; color:Positive; care instructions:Negative,5
35,Great fit,"I saw this online and was pleased they had it in blue at the store. the blue is more of a gray, but it's a great color. i tried on the small and my daughter said ""you look pretty, mommy."" i was sold! i love the cascade on the side.",5,1,0,General,Tops,Fine gauge,Positive,50,0.0,26-35,5,Positive,Low,color:Positive; fit:Positive; quality:Positive,3
32,,"I usually do not buy dresses at full price but when i saw the teal version of this dress on the website i caved in and bought it. i had also tried the pink version of this dress in store. it's very cute and sweet but i don't think i can pull it off. the teal version is pretty accurate in color to the on screen image.

this dress runs huge. i usually wear a 6 or 8 in retailer dresses and went with a size 2 for this one. it fits comfortably without being too baggy or like a tent. the materi",5,1,0,General Petite,Dresses,Dresses,Positive,103,0.0,26-35,4,Positive,Low,color:Positive; fit:Positive; sizing:Negative; quality:Neutral,4
39,Gorgeous quality knit,"I was lucky enough to get a hold of this intarsia sweater dress after the sale and i wish i had purchased this the first time round. it is absolutely stunning, flattering, comfortable and unique! i am 5'3"" and the regular hem fit me just fine at the ankles. i think this dress runs both tts to a bit large so i would size down if your small framed and stay your usual if your busty or broad shouldered. perfectly complements my taupe booties that i already owned and a my taupe maxi sweater that has",5,1,0,General Petite,Dresses,Dresses,Positive,96,0.0,36-45,5,Positive,Low,fit:Positive; comfort:Positive; quality:Positive; style:Positive; sizing:Neutral,5
54,Perfect symmetry in lifesaver colors,"Just got these mara hoffman classic bikini bottoms in flight azure print.today and love them: high quality, fully lined and reversible. the pattern placement is perfectly symmetrical and the colors are just like the online photos.
.
i think the size chart on the mara hoffman site is correct for where the bottoms sit on my body, above the widest part. i have a a-shape with smaller waist and hips, full behind and thighs (currently 33-25-37ish, 38"" at the widest which is at my thighs). in these t",5,1,0,Initmates,Intimate,Swim,Positive,88,0.0,46-55,5,Positive,Low,quality:Positive; fit:Positive; color:Positive; sizing:Positive,4
51,Wonderful spring top,I was taking my time with this purchase i needed a top for a pair of ombrã© silk pants that i had tailored to fit. but everytime i put these pants on i couldn't find any top to come close to match..especially since the pants are for a more sophisticated look. well this top fits that perfectly and i'm excited to pair them for a nice dinner out. plus i was equally excited when i could pair the top with my jeans and sandals.,4,1,0,General,Tops,Knits,Positive,84,0.0,46-55,5,Positive,Low,fit:Positive; style:Positive,2
26,,"I absolutely love these capris. after reading the reviews, i thought that they may fit a bit snug through the thigh, but they fit perfectly. i am roughly a size six (depending on the design, i can sometimes squeeze into a 4). i bought the size 27 in these and its perfect. also, i thought that the green would be more of a mint, but its definitely a more of a mossy color. i love that they are so versatile and literally go with everything! will be getting more colors in the future! great buy!",5,1,1,General Petite,Bottoms,Pants,Positive,95,0.6931471805599453,26-35,5,Positive,Low,fit:Positive; sizing:Positive; color:Neutral; quality:Positive; price:Positive,5
37,Not white...,The design of these is adorable with the lace up ties however they are a dingy looking off white color. they are also pretty see through. returned.,3,0,0,General,Bottoms,Jeans,Neutral,27,0.0,36-45,2,Negative,Medium,design:Positive; color:Negative; quality:Negative; return process:Negative,4
33,,It's a beautiful top but not for bigger busts. ordered an xl and the top part would not button. i recommend for those with smaller busts.,2,1,0,General,Tops,Blouses,Negative,26,0.0,26-35,2,Negative,Medium,fit:Negative; quality:Positive,2
75,Disappointing,"I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen, in person it looks cheap and tacky. moreover, the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.
overpriced, to boot.
obviously, mine is a minority opinion.",2,0,5,General,Tops,Blouses,Negative,50,1.791759469228055,55+,2,Negative,Medium,quality:Negative; design:Negative; price:Negative,3
39,Yummy mustard,"Love the gorgeous mustard/goldenrod shade but it's unflattering to my skintone (makes my olive-tan look more sallow). all the versions of the tied dresses that holding horses has come out with are fantastic in fit and flattering to the tummy. if you are busty/broad back/wide rib cage--size up. if you have generous hip/bum curves, give both your regular",5,1,0,General Petite,Dresses,Dresses,Positive,58,0.0,36-45,3,Neutral,Low,color:Positive; fit:Positive; sizing:Negative,3
74,,"Based on the other reviews, i sized down from my usual 6p to a 2p, but this dress was still ridiculously huge and extremely unflattering. i could tell the minute i took it out of the package it wouldn't work. i can't imagine this would flatter very many people. the front photo of the model is incredibly deceptive. very disappointed--this will be going back for sure.",2,0,0,General Petite,Dresses,Dresses,Negative,66,0.0,55+,1,Negative,High,sizing:Negative; fit:Negative; quality:Negative; design:Negative,4
41,Absolutely beautiful,Got the green one,5,1,0,General Petite,Tops,Blouses,Positive,4,0.0,36-45,3,Neutral,Low,,0
54,,Perfect spring transition piece-- saffron yellow but medium weight and breathable. this color is in for spring and the perfect blend for a not too warm cover up!,5,1,3,General Petite,Tops,Sweaters,Positive,28,1.3862943611198906,46-55,5,Positive,Low,color:Positive; weight:Positive; breathability:Positive,3
52,Dress it up or down,"The top of this dress is very flattering. there is a lot of fabric on the bottom half of dress. if you want something which hugs curves ,this is not it. however, one of the things i like about this dress is, it can be dressed up or down. i wore to a wedding and got several compliments. very comfortable",5,1,3,General,Dresses,Dresses,Positive,60,1.3862943611198906,46-55,4,Positive,Low,fit:Neutral; quality:Positive; style:Positive; comfort:Positive,4
25,,"Mine came smelling like gasoline. not sure why, but i would have kept it otherwise. it's a smell that will be really hard to get out. looks like the picture.",2,0,1,General,Trend,Trend,Negative,30,0.6931471805599453,<=25,2,Negative,Medium,quality:Negative; appearance:Positive,2
40,Spring colors and comfort,"I bought these pants in white and tan. they are comfortable and fit great.however, they tend to stretch. i just got them and they are already starting to become uncomfortably loose. i still really like them but i recommend you buy a little tight so they become comfortable.",3,1,1,General,Bottoms,Pants,Neutral,48,0.6931471805599453,36-45,4,Positive,Medium,fit:Positive; comfort:Positive; stretch:Negative,3
32,Too small,They were too small for me. i loved them other than that.,3,1,1,General Petite,Bottoms,Pants,Neutral,12,0.6931471805599453,26-35,3,Neutral,Medium,fit:Negative; quality:Positive,2
64,So adorable!,"I ordered my usual size s in the purple print. this peplum top style, colors/pattern will go easily with pretty much anything.. shorts, pants, jeans & skirts. wear for casual or dress it up. for me the fit is tts. armholes provide good coverage & length is fine. the top has a bit of stretch & doesn't feel restrictive. the waist is banded & a little loose which is fine. don't like tight fitting waists on tops. i like that the waist seems a little lower than other peplum tops at retailer. the skirt",5,1,12,General,Tops,Knits,Positive,94,2.5649493574615367,55+,5,Positive,Low,fit:Positive; color:Positive; quality:Positive; style:Positive; sizing:Positive,5
39,Very cute,"The sweater is thinner than i expected but very cute so i'm keeping it. it seems well made so i'm not expecting easy snags, it washed well.",4,1,1,General,Tops,Fine gauge,Positive,27,0.6931471805599453,36-45,4,Positive,Low,fit:Neutral; quality:Positive; design:Positive; washing:Positive,4
